ID	title	language	publisher	region	release_date	serial	version
ULES-00991	World Series of Poker 2008: Battle for the Bracelets	English	Activision	PAL	2007-10-03	ULES-00991	1.00
ULES-00992	Beowulf: The Game	English / French / German / Italian / Spanish	Ubisoft	PAL	2007-10-22	ULES-00992	1.00
ULES-00993	MX vs. ATV Untamed	English	THQ	PAL	2007-11-20	ULES-00993	1.00
ULES-00994	MX vs. ATV Extrême Limite	French	THQ	PAL	2007-11-26	ULES-00994	1.00
ULES-00999	Disgaea: Afternoon of Darkness	English	Koei	PAL	2007-10-16	ULES-00999	1.00
ULES-01003	Metal Gear Solid: Portable Ops Plus	English / French / German / Italian / Spanish	Konami	PAL	2007-11-28	ULES-01003	1.00
ULES-01004	Dragoneer's Aria	English	Koei	PAL	2007-11-22	ULES-01004	1.00
ULES-01012	Boulder Dash: Rocks! / BOULDER DASH: ROCKS!	N/A	10tacle Studios	PAL	2007-12-06	ULES-01012	1.00
ULES-01013	Chessmaster: The Art of Learning	Dutch / English / French / German / Italian / Spanish	Ubisoft	PAL	2007-11-25	ULES-01013	1.00
ULES-01014	Williams Pinball Classics	English / French / German / Spanish	System 3 Software	PAL	2010-09-16	ULES-01014	2.01
ULES-01016	Blokus Portable: Steambot Championship	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01016	N/A
ULES-01017	Ultimate Board Game Collection	English / French / German / Italian / Spanish	Empire Interactive	PAL	2008-01-23	ULES-01017	1.00
ULES-010173027693	Ultimate Board Game Collection	N/A	N/A	PAL	N/A	ULES-010173027693	N/A
ULES-01019	Need for Speed: ProStreet	English	N/A	PAL	N/A	ULES-01019	N/A
ULES-01020	Need for Speed: ProStreet	Dutch / English / French / German / Italian / Spanish	Electronic Arts	PAL	2007-12-07	ULES-01020	1.00
ULES-01022	Lanfeust of Troy	English / French / German / Italian / Spanish	Atari	PAL	2008-03-14	ULES-01022	1.00
ULES-01023	Beaterator	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01023	1.02
ULES-01024	CID the Dummy	English / French / German / Italian / Spanish	Oxygen Games	PAL	2008-03-20	ULES-01024	1.01
ULES-01025	UEFA Euro 2008: Austria-Switzerland	English / French / German	ELECTRONIC ARTS	PAL	2008-02-28	ULES-01025	1.00
ULES-01026	N Plus	English	N/A	PAL	N/A	ULES-01026	N/A
ULES-01027	Super Collapse! 3	English / French / German / Italian / Spanish	Code Masters	PAL	2008-02-13	ULES-01027	1.00
ULES-01028	Luxor: Pharaoh's Challenge	English / French / German / Italian / Spanish	Code Masters	PAL	2007-11-15	ULES-01028	1.00
ULES-01029	Platypus	English / French / German / Italian / Spanish	Code Masters	PAL	2008-01-25	ULES-01029	1.00
ULES-01037	7 Wonders of the Ancient World	English / French / German / Italian / Spanish	Code Masters	PAL	2008-01-15	ULES-01037	1.00
ULES-01038	UEFA Euro 2008: Austria-Switzerland	Italian / Spanish	Electronic Arts	PAL	2008-02-28	ULES-01038	1.00
ULES-01044	Crisis Core: Final Fantasy VII	English	Square Enix	PAL	2008-06-20	ULES-01044	1.00
ULES-010441822771	Crisis Core: Final Fantasy VII / CRISIS CORE -FINAL FANTASY VII-	N/A	N/A	PAL	N/A	ULES-010441822771	N/A
ULES-01045	Crisis Core: Final Fantasy VII	French	Square Enix	PAL	2008-04-19	ULES-01045	1.00
ULES-01046	Crisis Core: Final Fantasy VII	German	N/A	PAL	N/A	ULES-01046	N/A
ULES-01047	Crisis Core: Final Fantasy VII	Italian	Square Enix	PAL	2008-04-19	ULES-01047	1.00
ULES-01048	Crisis Core: Final Fantasy VII	Spanish	Square Enix	PAL	2008-04-19	ULES-01048	1.00
ULES-01054	Warriors Orochi	English	Koei	PAL	2008-01-23	ULES-01054	1.00
ULES-01055	Warriors Orochi	French	Koei	PAL	2008-01-23	ULES-01055	1.00
ULES-01056	Warriors Orochi	English / German	Koei	PAL	2008-01-23	ULES-01056	1.00
ULES-01057	FIFA 08	Russian	Electronic Arts	PAL	2008-02-12	ULES-01057	1.00
ULES-01063	SBK 08: Superbike World Championship	English / French / German / Italian / Spanish	Lago S.r.l.	PAL	2008-04-22	ULES-01063	1.01
ULES-01066	Puzzler Collection	English	Ubisoft	PAL	2008-04-24	ULES-01066	1.00
ULES-01068	Tom Clancy's EndWar	English / French / German / Italian / Spanish	Ubisoft	PAL	2008-04-28	ULES-01068	1.00
ULES-01070	Iron Man	English / French / Spanish	SEGA	PAL	2008-04-04	ULES-01070	1.00
ULES-01071	Iron Man	English / German / Italian	N/A	PAL	N/A	ULES-01071	N/A
ULES-01072	Disney/Pixar WALL-E	English	N/A	PAL	N/A	ULES-01072	N/A
ULES-01073	Disney/Pixar WALL-E	Danish / Norwegian	THQ	PAL	2008-06-26	ULES-01073	1.00
ULES-01074	Disney/Pixar WALL-E	Swedish	THQ	PAL	2008-06-26	ULES-01074	1.00
ULES-01075	Disney/Pixar WALL-E	Portuguese / Spanish	THQ	PAL	2008-05-29	ULES-01075	1.00
ULES-01076	Disney/Pixar WALL-E	Dutch / French	THQ	PAL	2008-05-22	ULES-01076	1.00
