ID	title	language	region	release_date	serial
DOL-GFHP-NOE	Neighbours from Hell	English / French / German / Italian / Spanish	PAL	2005-03-04	DOL-GFHP-NOE
DOL-GFIE-USA	2002 FIFA World Cup	English	NTSC-U	2002-04-16	DOL-GFIE-USA
DOL-GFIJ-JPN	2002 FIFA World Cup	Japanese	NTSC-J	2002-04-16	DOL-GFIJ-JPN
DOL-GFJE-MSA	FIFA Soccer 06	Spanish	PAL	2005	DOL-GFJE-MSA
DOL-GFKE-USA	Freekstyle	English	NTSC-U	2002-09-03	DOL-GFKE-USA
DOL-GFKP-EUR	Freekstyle	English / French / German	PAL	2002-09-03	DOL-GFKP-EUR
DOL-GFMJ-JPN	Family Stadium 2003	Japanese	NTSC-J	2003-05-30	DOL-GFMJ-JPN
DOL-GFNJ-JPN	Disney/Pixar Finding Nemo	Japanese	NTSC-J	2006	DOL-GFNJ-JPN
DOL-GFOE-USA	The Fairly OddParents: Shadow Showdown	English	NTSC-U	2004-09-08	DOL-GFOE-USA
DOL-GFPE-USA	Frogger: Ancient Shadow	English / Spanish	NTSC-U	2005-09-27	DOL-GFPE-USA
DOL-GFQE-USA	Frogger's Adventures: The Rescue	English	NTSC-U	2003-10-28	DOL-GFQE-USA
DOL-GFSD-NOE	2002 FIFA World Cup	German	PAL	2002-04-16	DOL-GFSD-NOE
DOL-GFSE-USA	FIFA Soccer 2002	English	NTSC-U	2001-11-18	DOL-GFSE-USA
DOL-GFSF-FRA	2002 FIFA World Cup	French	PAL	2002-04-16	DOL-GFSF-FRA
DOL-GFSJ-JPN	FIFA 2002: Road to FIFA World Cup	Japanese	NTSC-J	2001-11-15	DOL-GFSJ-JPN
DOL-GFSP-EUR	2002 FIFA World Cup	English	PAL	2002-04-16	DOL-GFSP-EUR
DOL-GFSX-FAH	2002 FIFA World Cup	Dutch / French	PAL	2002-04-16	DOL-GFSX-FAH
DOL-GFTE-KOR	Mario Golf: Toadstool Tour	English	NTSC-J	2003-07-28	DOL-GFTE-KOR
DOL-GFTE-USA	Mario Golf: Toadstool Tour	English	NTSC-U	2003-07-28	DOL-GFTE-USA
DOL-GFTJ-JPN	Mario Golf: Family Tour	Japanese	NTSC-J	2003-09-05	DOL-GFTJ-JPN
DOL-GFTP-EUR	Mario Golf: Toadstool Tour	English / French / German / Italian / Spanish	PAL	2003-07-28	DOL-GFTP-EUR
DOL-GFUE-USA	Future Tactics: The Uprising	English	NTSC-U	2004-05-10	DOL-GFUE-USA
DOL-GFUP-NOE	Future Tactics: The Uprising	English / French / German / Italian / Spanish	PAL	2004-05-10	DOL-GFUP-NOE
DOL-GFVE-USA	NFL Blitz Pro	English	NTSC-U	2003-12	DOL-GFVE-USA
DOL-GFWE-USA	The Fairly OddParents: Breakin' da Rules	English	NTSC-U	2003-11-03	DOL-GFWE-USA
DOL-GFXE-USA	Freestyle Metal X	English	NTSC-U	2003-09-12	DOL-GFXE-USA
DOL-GFYE-USA	FIFA Street 2	English / Spanish	NTSC-U	2006-02-28	DOL-GFYE-USA
DOL-GFYP-EUR	FIFA Street 2	English / French / German	PAL	2006-02-28	DOL-GFYP-EUR
DOL-GFYP-NOE	FIFA Street 2	English / French / German	PAL	2006-02-28	DOL-GFYP-NOE
DOL-GFZE-KOR	F-Zero GX	English	NTSC-J	2003-07-25	DOL-GFZE-KOR
DOL-GFZE-USA	F-Zero GX	English	NTSC-U	2003-07-25	DOL-GFZE-USA
DOL-GFZJ-JPN	F-Zero GX	Japanese	NTSC-J	2003-07-25	DOL-GFZJ-JPN
DOL-GFZP-EUR	F-Zero GX	English / French / German / Italian / Spanish	PAL	2003-07-25	DOL-GFZP-EUR
DOL-GG2E-USA	Trigger Man	English	NTSC-U	2004	DOL-GG2E-USA
DOL-GG4E-USA	Gotcha Force	English	NTSC-U	2003-11-27	DOL-GG4E-USA
DOL-GG4J-JPN	Gotcha Force	Japanese	NTSC-J	2003-11-27	DOL-GG4J-JPN
DOL-GG4P-EUR	Gotcha Force	English / French / German	PAL	2003-11-27	DOL-GG4P-EUR
DOL-GG4P-NOE	Gotcha Force	English / French / German	PAL	2003-11-27	DOL-GG4P-NOE
DOL-GG5E-USA	Cabela's Big Game Hunter 2005 Adventures	English	NTSC-U	2004-12	DOL-GG5E-USA
DOL-GGAJ-JPN	Kidou Senshi Gundam: Senshi-tachi no Kiseki	Japanese	NTSC-J	2004-03-18	DOL-GGAJ-JPN
DOL-GGCE-USA	Goblin Commander: Unleash the Horde	English	NTSC-U	2003-12-16	DOL-GGCE-USA
DOL-GGCP-EUR	Goblin Commander: Unleash the Horde	English / French / German	PAL	2003-12-16	DOL-GGCP-EUR
DOL-GGEE-USA	Beyond Good & Evil	English / Spanish	NTSC-U	2003-12-10	DOL-GGEE-USA
DOL-GGEP-EUR	Beyond Good & Evil	English / Spanish	PAL	2003-12-10	DOL-GGEP-EUR
DOL-GGEX-EUU	Beyond Good & Evil	German / Italian	PAL	2003-12-10	DOL-GGEX-EUU
DOL-GGEY-FAH	Beyond Good & Evil	Dutch / French	PAL	2003-12-10	DOL-GGEY-FAH
DOL-GGFJ-JPN	Giftpia	Japanese	NTSC-J	2003-04-25	DOL-GGFJ-JPN
DOL-GGIJ-JPN	GoldenEye: Dark Agent	Japanese	NTSC-J	2005-01-13	DOL-GGIJ-JPN
DOL-GGKJ-JPN	Konjiki no Gashbell!! Yuujou Tag Battle: Full Power	Japanese	NTSC-J	2004-08-05	DOL-GGKJ-JPN
DOL-GGNE-USA	The Grim Adventures of Billy & Mandy	English	NTSC-U	2006-09-25	DOL-GGNE-USA
DOL-GGPJ-JPN	SD Gundam: Gashapon Wars	Japanese	NTSC-J	2005-12-01	DOL-GGPJ-JPN
DOL-GGRD-NOE	Tom Clancy's Ghost Recon	German	PAL	2003-02-12	DOL-GGRD-NOE
DOL-GGRE-USA	Tom Clancy's Ghost Recon	English	NTSC-U	2003-02-12	DOL-GGRE-USA
DOL-GGRP-EUR	Tom Clancy's Ghost Recon	English / French / Italian / Spanish	PAL	2003-02-12	DOL-GGRP-EUR
DOL-GGSE-USA	Metal Gear Solid: The Twin Snakes	English	NTSC-U	2004-03-09	DOL-GGSE-USA
DOL-GGSJ-JPN	Metal Gear Solid: The Twin Snakes	English / Japanese	NTSC-J	2004-03-09	DOL-GGSJ-JPN
DOL-GGSP-EUR	Metal Gear Solid: The Twin Snakes	English / French / German / Italian / Spanish	PAL	2004-03-09	DOL-GGSP-EUR
DOL-GGTE-USA	Chibi-Robo!	English	NTSC-U	2005-06-23	DOL-GGTE-USA
DOL-GGTJ-JPN	Chibi-Robo!	Japanese	NTSC-J	2005-06-23	DOL-GGTJ-JPN
DOL-GGTP-EUR	Chibi-Robo!	English / French / German / Italian / Spanish	PAL	2005-06-23	DOL-GGTP-EUR
DOL-GGVD-NOE	Nickelodeon SpongeBob Schwammkopf: Der Film	German	PAL	2005-02-04	DOL-GGVD-NOE
DOL-GGVE-USA	Nickelodeon SpongeBob SquarePants: The Movie	English	NTSC-U	2004-10-27	DOL-GGVE-USA
