ID	title	region	serial
LA-H-A3AWB-USA	Triangle Strategy	USA	LA-H-A3AWB-USA
LA-H-A3AYE-EUR	Mail Mole: Collector’s Edition	EUR	LA-H-A3AYE-EUR
LA-H-A3AYE-USA	Mail Mole: Collector’s Edition	USA	LA-H-A3AYE-USA
LA-H-A3BKA-USA	Mythic Ocean	USA	LA-H-A3BKA-USA
LA-H-A3BMC-EUR	Sir Lovelot	EUR	LA-H-A3BMC-EUR
LA-H-A3C6A-EUR	Bustafellows	EUR	LA-H-A3C6A-EUR
LA-H-A3C6A-USA	Bustafellows	USA	LA-H-A3C6A-USA
LA-H-A3C7A-EUR	Remnant: From the Ashes	EUR	LA-H-A3C7A-EUR
LA-H-A3C7A-USA	Remnant: From The Ashes	USA	LA-H-A3C7A-USA
LA-H-A3C8A-EUR	Darksiders III	EUR	LA-H-A3C8A-EUR
LA-H-A3DFA-JPN	Sol Cresta: Dramatic Edition	JPN	LA-H-A3DFA-JPN
LA-H-A3DFL-USA	Sol Cresta: Dramatic Edition	USA	LA-H-A3DFL-USA
LA-H-A3E7B-EUR	Digimon World Next Order	EUR	LA-H-A3E7B-EUR
LA-H-A3E7C-USA	Digimon World Next Order	USA	LA-H-A3E7C-USA
LA-H-A3EEA-EUR	SturmFront: The Mutant War: Ubel Edition	EUR	LA-H-A3EEA-EUR
LA-H-A3ESG-USA	Rain on Your Parade	USA	LA-H-A3ESG-USA
LA-H-A3F7D-EUR	Demon Gaze Extra	EUR	LA-H-A3F7D-EUR
LA-H-A3F7D-USA	Demon Gaze Extra	USA	LA-H-A3F7D-USA
LA-H-A3FEA-EUR	Dragon Quest Treasures	EUR	LA-H-A3FEA-EUR
LA-H-A3FEA-JPN	Dragon Quest Treasures	JPN	LA-H-A3FEA-JPN
LA-H-A3FEB-USA	Dragon Quest Treasures	USA	LA-H-A3FEB-USA
LA-H-A3FPA-EUR	Chef Life: A Restaurant Simulator	EUR	LA-H-A3FPA-EUR
LA-H-A3G9C-EUR	Mon-Yu	EUR	LA-H-A3G9C-EUR
LA-H-A3H2A-JPN	Tetris Effect: Connected	JPN	LA-H-A3H2A-JPN
LA-H-A3H2A-USA	Tetris Effect: Connected	USA	LA-H-A3H2A-USA
LA-H-A3H4A-JPN	World's End Club	JPN	LA-H-A3H4A-JPN
LA-H-A3H4B-USA	World's End Club	USA	LA-H-A3H4B-USA
LA-H-A3HCB-EUR	Monark	EUR	LA-H-A3HCB-EUR
LA-H-A3HWA-EUR	Transiruby	EUR	LA-H-A3HWA-EUR
LA-H-A3JMB-EUR	Fire Emblem Warriors: Three Hopes	EUR	LA-H-A3JMB-EUR
LA-H-A3JMB-USA	Fire Emblem Warriors: Three Hopes	USA	LA-H-A3JMB-USA
LA-H-A3JXB-USA	Blaster Master Zero 3	USA	LA-H-A3JXB-USA
LA-H-A3KEB-EUR	Grand Mountain Adventure: Wonderlands	EUR	LA-H-A3KEB-EUR
LA-H-A3KEB-USA	Grand Mountain Adventure: Wonderlands	USA	LA-H-A3KEB-USA
LA-H-A3KYA-ASI	Trigger Witch	ASI	LA-H-A3KYA-ASI
LA-H-A3LCC-EUR	Tales of Symphonia Remastered	EUR	LA-H-A3LCC-EUR
LA-H-A3LCC-USA	Tales of Symphonia Remastered	USA	LA-H-A3LCC-USA
LA-H-A3LVB-ASI	Sunblaze	ASI	LA-H-A3LVB-ASI
LA-H-A3LZA-USA	Assassin's Creed: The Ezio Collection	USA	LA-H-A3LZA-USA
LA-H-A3M8B-USA	Spooky Spirit Shooting Gallery	USA	LA-H-A3M8B-USA
LA-H-A3MYA-EUR	As Far As The Eye	EUR	LA-H-A3MYA-EUR
LA-H-A3N5A-USA	Star Wars: The Force Unleashed	USA	LA-H-A3N5A-USA
LA-H-A3NPA-USA	Prinny Presents: NIS Classics Vol 1	USA	LA-H-A3NPA-USA
LA-H-A3P5B-ASI	Beautiful Desolation	ASI	LA-H-A3P5B-ASI
LA-H-A3PDA-EUR	Wonder Boy: Asha in Monster World	EUR	LA-H-A3PDA-EUR
LA-H-A3PDA-USA	Wonder Boy: Asha in Monster World	USA	LA-H-A3PDA-USA
LA-H-A3PDB-EUR	Doraemon Story of Seasons: Friends of the Great Kingdom	EUR	LA-H-A3PDB-EUR
LA-H-A3PFA-USA	Epic Chef	USA	LA-H-A3PFA-USA
LA-H-A3PGA-USA	Aztech the Forgotten Gods	USA	LA-H-A3PGA-USA
LA-H-A3PRB-ASI	Atelier Mysterious Trilogy Deluxe Pack	ASI	LA-H-A3PRB-ASI
LA-H-A3PYA-USA	Oddworld Collection	USA	LA-H-A3PYA-USA
LA-H-A3Q5A-EUR	Terra Trilogy	EUR	LA-H-A3Q5A-EUR
LA-H-A3Q5A-USA	Terra Trilogy	USA	LA-H-A3Q5A-USA
LA-H-A3Q8A-EUR	Rustler	EUR	LA-H-A3Q8A-EUR
LA-H-A3QEA-EUR	Road 96	EUR	LA-H-A3QEA-EUR
LA-H-A3QEA-USA	Road 96	USA	LA-H-A3QEA-USA
LA-H-A3QGA-EUR	Instant Sports Tennis	EUR	LA-H-A3QGA-EUR
LA-H-A3R9A-USA	The Binding of Isaac: Repentance	USA	LA-H-A3R9A-USA
LA-H-A3R9B-JPN	The Binding of Isaac: Repentance	JPN	LA-H-A3R9B-JPN
LA-H-A3RCA-ASI	Empire of Angels IV	ASI	LA-H-A3RCA-ASI
LA-H-A3RHA-USA	Equestrian Training	USA	LA-H-A3RHA-USA
LA-H-A3RJA-EUR	Marsupilami: Hoobadventure	EUR	LA-H-A3RJA-EUR
LA-H-A3RJA-USA	Marsupilami: Hoobadventure	USA	LA-H-A3RJA-USA
LA-H-A3RVC-USA	13 Sentinels: Aegis Rim	USA	LA-H-A3RVC-USA
LA-H-A3SCA-USA	In Sound Mind	USA	LA-H-A3SCA-USA
LA-H-A3SCD-JPN	In Sound Mind	JPN	LA-H-A3SCD-JPN
LA-H-A3SDA-EUR	Metroid Prime Remastered	EUR	LA-H-A3SDA-EUR
LA-H-A3SDA-JPN	Metroid Prime Remastered	JPN	LA-H-A3SDA-JPN
LA-H-A3SDA-USA	Metroid Prime Remastered	USA	LA-H-A3SDA-USA
LA-H-A3SHA-USA	My Friend Peppa Pig	USA	LA-H-A3SHA-USA
LA-H-A3SVA-USA	Squish	USA	LA-H-A3SVA-USA
LA-H-A3SYA-EUR	Archvale	EUR	LA-H-A3SYA-EUR
LA-H-A3T5A-EUR	Inked: A Tale of Love	EUR	LA-H-A3T5A-EUR
LA-H-A3T9A-USA	Pathway	USA	LA-H-A3T9A-USA
LA-H-A3TRA-USA	Astria Ascending	USA	LA-H-A3TRA-USA
LA-H-A3TRB-JPN	Astria Ascending	JPN	LA-H-A3TRB-JPN
LA-H-A3TUA-USA	Danganronpa Decadence	USA	LA-H-A3TUA-USA
LA-H-A3TUD-EUR	Danganronpa Decadence	EUR	LA-H-A3TUD-EUR
LA-H-A3TXA-EUR	Subnautica + Subnautica Below Zero Double Pack	EUR	LA-H-A3TXA-EUR
LA-H-A3TXA-USA	Subnautica + Subnautica Below Zero Double Pack	USA	LA-H-A3TXA-USA
LA-H-A3U7A-USA	Steel Assault	USA	LA-H-A3U7A-USA
LA-H-A3UKA-USA	Save Me Mr. Tako: Definitive Edition	USA	LA-H-A3UKA-USA
LA-H-A3UNA-USA	Rainbow Billy: The Curse of the Leviathan	USA	LA-H-A3UNA-USA
LA-H-A3UVA-EUR	Teenage Mutant Ninja Turtles: Shredder's Revenge	EUR	LA-H-A3UVA-EUR
LA-H-A3UVA-JPN	Teenage Mutant Ninja Turtles: Shredder's Revenge	JPN	LA-H-A3UVA-JPN
LA-H-A3UVA-USA	Teenage Mutant Ninja Turtles: Shredder's Revenge	USA	LA-H-A3UVA-USA
LA-H-A3UVE-USA	Teenage Mutant Ninja Turtles: Shredder's Revenge: Anniversary Edition	USA	LA-H-A3UVE-USA
LA-H-A3V6A-USA	ExZeus : The Complete Collection	USA	LA-H-A3V6A-USA
LA-H-A3V8A-USA	BloodRayne: ReVamped	USA	LA-H-A3V8A-USA
LA-H-A3V9A-USA	BloodRayne 2: ReVamped	USA	LA-H-A3V9A-USA
LA-H-A3X7A-USA	Espgaluda II	USA	LA-H-A3X7A-USA
LA-H-A3X8A-USA	DoDonPachi Resurrection	USA	LA-H-A3X8A-USA
LA-H-A3X8C-JPN	DoDonPachi Resurrection	JPN	LA-H-A3X8C-JPN
LA-H-A3XVA-USA	Ayo the Clown	USA	LA-H-A3XVA-USA
LA-H-A3YNA-EUR	Slime Rancher: Plortable Edition	EUR	LA-H-A3YNA-EUR
LA-H-A3YNA-USA	Slime Rancher: Plortable Edition	USA	LA-H-A3YNA-USA
LA-H-A3YZA-EUR	Severed Steel	EUR	LA-H-A3YZA-EUR
LA-H-A42MA-EUR	Wytchwood	EUR	LA-H-A42MA-EUR
LA-H-A42SA-USA	Teenage Mutant Ninja Turtles: The Cowabunga Collection	USA	LA-H-A42SA-USA
LA-H-A42UC-EUR	Persona 5 Royal	EUR	LA-H-A42UC-EUR
LA-H-A42UC-USA	Persona 5 Royal	USA	LA-H-A42UC-USA
LA-H-A42VA-USA	Sam & Max: Beyond Time and Space	USA	LA-H-A42VA-USA
LA-H-A437A-JPN	Fatal Frame: Maiden of Black Water	JPN	LA-H-A437A-JPN
LA-H-A43DA-JPN	Food Girls 2: Civil War	JPN	LA-H-A43DA-JPN
LA-H-A43LA-USA	Demons of Asteborg	USA	LA-H-A43LA-USA
LA-H-A43MA-USA	Ever Forward	USA	LA-H-A43MA-USA
LA-H-A43XB-EUR	Pocky & Rocky Reshrined	EUR	LA-H-A43XB-EUR
LA-H-A43XB-USA	Pocky & Rocky Reshrined	USA	LA-H-A43XB-USA
LA-H-A43XC-JPN	Pocky & Rocky Reshrined	JPN	LA-H-A43XC-JPN
LA-H-A446A-USA	Dawn of the Monsters	USA	LA-H-A446A-USA
LA-H-A45EA-EUR	Warhammer 40,000: Shootas, Blood & Teef	EUR	LA-H-A45EA-EUR
LA-H-A45EA-USA	Warhammer 40,000: Shootas, Blood & Teef	USA	LA-H-A45EA-USA
LA-H-A45JA-EUR	Heaven's Machine	EUR	LA-H-A45JA-EUR
LA-H-A45KA-EUR	Grapple Dog	EUR	LA-H-A45KA-EUR
LA-H-A45UB-CHT	The Legend of Tianding	CHT	LA-H-A45UB-CHT
LA-H-A45YA-JPN	PUI PUI MOLCAR Let's! MOLCAR PARTY!	JPN	LA-H-A45YA-JPN
LA-H-A46QA-EUR	Demon Throttle	EUR	LA-H-A46QA-EUR
LA-H-A46QA-USA	Demon Throttle	USA	LA-H-A46QA-USA
LA-H-A46TA-JPN	Pac-Man World: Re-PAC	JPN	LA-H-A46TA-JPN
LA-H-A46TC-USA	Pac-Man World: Re-PAC	USA	LA-H-A46TC-USA
LA-H-A475A-USA	The Legend of Heroes: Trails into Reverie	USA	LA-H-A475A-USA
LA-H-A478A-EUR	The Legend of Heroes: Trails from Zero	EUR	LA-H-A478A-EUR
LA-H-A478A-USA	The Legend of Heroes: Trails from Zero	USA	LA-H-A478A-USA
LA-H-A48DB-USA	Cotton Fantasy	USA	LA-H-A48DB-USA
LA-H-A49BA-USA	Earth Atlantis	USA	LA-H-A49BA-USA
LA-H-A49FB-USA	Taito Milestones	USA	LA-H-A49FB-USA
LA-H-A49KC-CHT	Commandos 3 HD Remaster	CHT	LA-H-A49KC-CHT
LA-H-A49TA-JPN	Koumajou Remilia : Scarlet Symphony	JPN	LA-H-A49TA-JPN
LA-H-A4A7A-USA	Catlateral Damage: Remeowstered	USA	LA-H-A4A7A-USA
LA-H-A4AUA-JPN	The Legend of Heroes: Trails of Cold Steel II Kai: / The Erebonian Civil War	JPN	LA-H-A4AUA-JPN
LA-H-A4BDA-USA	Stranded Deep	USA	LA-H-A4BDA-USA
LA-H-A4BWA-EUR	Sparkle Ultimate Collection	EUR	LA-H-A4BWA-EUR
LA-H-A4CPA-EUR	Are You Smartrer Than a 5th Grader	EUR	LA-H-A4CPA-EUR
LA-H-A4CPA-USA	Are You Smartrer Than a 5th Grader	USA	LA-H-A4CPA-USA
LA-H-A4CYA-EUR	The Last Worker	EUR	LA-H-A4CYA-EUR
LA-H-A4CZA-EUR	Arcade Paradise	EUR	LA-H-A4CZA-EUR
LA-H-A4CZA-USA	Arcade Paradise	USA	LA-H-A4CZA-USA
LA-H-A4D5B-JPN	DEEEER Simulator: Your Average Everyday Deer Game	JPN	LA-H-A4D5B-JPN
LA-H-A4D5B-USA	DEEEER Simulator: Your Average Everyday Deer Game	USA	LA-H-A4D5B-USA
LA-H-A4EDA-EUR	Encodya	EUR	LA-H-A4EDA-EUR
LA-H-A4EFB-USA	AI: The Somnium Files: nirvanA Initiative	USA	LA-H-A4EFB-USA
LA-H-A4EFC-EUR	AI: The Somnium Files: nirvanA Initiative	EUR	LA-H-A4EFC-EUR
LA-H-A4ENA-USA	Dodgeball Academia	USA	LA-H-A4ENA-USA
LA-H-A4F2A-USA	Horror Tales: The Wine	USA	LA-H-A4F2A-USA
LA-H-A4F4A-EUR	Mi'pu'mi Collection (The Lion's Song and The Flower Collectors)	EUR	LA-H-A4F4A-EUR
LA-H-A4FPC-CHT	River City Saga: Three Kingdoms	CHT	LA-H-A4FPC-CHT
LA-H-A4G6A-EUR	Webbed	EUR	LA-H-A4G6A-EUR
LA-H-A4H2B-EUR	Dogworld	EUR	LA-H-A4H2B-EUR
LA-H-A4JVA-USA	We Are OFK	USA	LA-H-A4JVA-USA
LA-H-A4K4A-EUR	The Wild at Heart	EUR	LA-H-A4K4A-EUR
LA-H-A4K4A-USA	The Wild at Heart	USA	LA-H-A4K4A-USA
LA-H-A4KHB-USA	Labyrinth Of Zangetsu	USA	LA-H-A4KHB-USA
LA-H-A4KYA-USA	DOOM Classics Collection	USA	LA-H-A4KYA-USA
LA-H-A4NKA-USA	Raiden 30th Anniversary	USA	LA-H-A4NKA-USA
LA-H-A4NXA-EUR	Dreamworks Dragons: Legends of the Nine Realms	EUR	LA-H-A4NXA-EUR
LA-H-A4PWA-JPN	Hashihime of the Old Book Town	JPN	LA-H-A4PWA-JPN
LA-H-A4S3A-EUR	The Pathless	EUR	LA-H-A4S3A-EUR
LA-H-A4S3A-USA	The Pathless	USA	LA-H-A4S3A-USA
LA-H-A4T3A-USA	Hello Neighbor 2	USA	LA-H-A4T3A-USA
LA-H-A4T9A-USA	Star Wars Jedi Knight Collection	USA	LA-H-A4T9A-USA
LA-H-A4TAA-USA	Loop Hero	USA	LA-H-A4TAA-USA
LA-H-A4TCA-USA	Beyond a Steel Sky	USA	LA-H-A4TCA-USA
LA-H-A4TRB-USA	Death end re;Quest 2	USA	LA-H-A4TRB-USA
LA-H-A4TTA-JPN	The Centennial Case: A Shijima Story	JPN	LA-H-A4TTA-JPN
LA-H-A4TYA-USA	Pac-Man Museum +	USA	LA-H-A4TYA-USA
LA-H-A4U6B-USA	Horgihugh and Friends	USA	LA-H-A4U6B-USA
