ID	title	edition	language	redump_status	region	system	version
610-7186	Maboroshi Tsukiyo	Taikenban	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7187	Atsumare! Guru Guru Onsen	Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7349	Hello Kitty no Dream Passport 2	Bundled with DC	Japanese	Dumped from original media	Japan	DC	1.000
610-7350	Pro Yakyuu Team de Asobou!	Tokubetsuban	Japanese	Dumped from original media	Japan	DC	1.000
610-7351	Atsumare! Guru Guru Onsen	Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7353	Zombie Revenge	Taikenban	Japanese	Dumped from original media	Japan	DC	1.003
610-7357	Jojo no Kimyou na Bouken: Mirai e no Isan	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
610-7358	GigaWing	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7368	Space Channel 5	Taikenban	Japanese	Dumped from original media	Japan	DC	0.203
610-7369	Dengen Tenshi Taisen Mahjong Shangri-La: Super Premium Movie Disc	Demo	Japanese	2 and more dumps from original media [!]	Japan	DC	1.002
610-7370	Berserk: Millennium Falcon-hen: Wasurebana no Shou	Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7375	What's Shenmue: Yukawa (Moto) Senmu o Sagase	Demo, Famitsu-ban	Japanese	2 and more dumps from original media [!]	Japan	DC	1.004
610-7381	Hello Kitty no Garden Panic	Bundled with DC	Japanese	Dumped from original media	Japan	DC	1.000
610-7383	J.League Pro Soccer Club o Tsukurou! Tokusei o Tanoshimi File Download Disc	Original	Japanese	Dumped from original media	Japan	DC	1.000
610-7384	Chu-Chu Rocket!	Taikenban	N/A	Dumped from original media	Japan	DC	1.003
610-7385	Pro Yakyuu Team de Asobou!	Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
610-7386	Super Magnetic Niuniu: Promotion Disc	Demo	Japanese	Dumped from original media	Japan	DC	1.000
610-7390	Microsoft WebTV Setsuzoku Kit	128bit SSL Taiouban (Hibaihin)	Japanese	2 and more dumps from original media [!]	Japan	DC	1.011
610-7391	Microsoft WebTV Setsuzoku Kit	128bit SSL Taiouban (Hibaihin)	Japanese	2 and more dumps from original media [!]	Japan	DC	1.011
610-7392	Generator Vol. 1	Demo	English	Dumped from original media	Japan	DC	1.010
610-7709	Dreamcast Express Extra	Hibaihin	Japanese	Dumped from original media	Japan	DC	1.001
610-7724	Biohazard: Code: Veronica	Tentou-you Demo Movie	Japanese	Dumped from original media	Japan	DC	1.000
610-7726	R7: Regulation #7	Bundled with R7 Dreamcast	Japanese	Dumped from original media	Japan	DC	1.001
610-7727	Sega GT: Homologation Special	Taikenban	Japanese	Dumped from original media	Japan	DC	0.800
610-7740	Aero Dancing F	Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7747	Seireiki Rayblade	Demo	Japanese	Dumped from original media	Japan	DC	1.002
610-7749	Sentimental Graffiti 2: Third Window	Hibaihin	Japanese	2 and more dumps from original media [!]	Japan	DC	3.000
610-7762	SegaKara for Dreamcast	Bundled with Dreamcast Karaoke	Japanese	Dumped from original media	Japan	DC	1.002
610-7801	Visual Park	Bundled with Dreameye	Japanese	2 and more dumps from original media [!]	Japan	DC	1.010
610-7803	Super Runabout	Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
610-7804	Seaman Esa Disc: Kimos Shu no Youchuu Hojuu Kit	Bundled with Seaman Ikusei Shien Kit	Japanese	Dumped from original media	Japan	DC	1.001
610-7807	Marvel vs. Capcom 2: New Age of Heroes	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7808	Power Stone 2	Tentou-you Demo Movie	Japanese	2 and more dumps from original media [!]	Japan	DC	1.000
610-7810	Eternal Arcadia: Kuuzokuban	Demo	Japanese	Dumped from original media	Japan	DC	1.002
610-7816	Record of Lodoss War: The Advent of Cardice	Taikenban	N/A	Dumped from original media	Japan	DC	1.000
610-7819	Dream Passport 3	Bundled with DC	Japanese	2 and more dumps from original media [!]	Japan	DC	1.011
610-7846	Zusar Vasar	Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7851	Dream Passport 3	Bundled with DC	Japanese	2 and more dumps from original media [!]	Japan	DC	1.011
610-7875	Dabi Tsuku: Derby-ba o Tsukurou!	Taikenban	N/A	Dumped from original media	Japan	DC	1.001
610-7877	Cool Cool Toon	Tentou-you Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7878	Grandia II	Tentou-you Demo	Japanese	Dumped from original media	Japan	DC	1.001
610-7883	Broadband Passport	Bundled with Broadband Adapter	Japanese	2 and more dumps from original media [!]	Japan	DC	1.000
610-7894	Dream Passport 3: Urban Style	Bundled with Internet Starter Kit	Japanese	2 and more dumps from original media [!]	Japan	DC	1.002
610-7899	F355 Challenge	Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
610-7913	Dead or Alive 2	Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7917	Capcom vs. SNK: Millennium Fight 2000	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
610-7918	Eternal Arcadia	Tentou-you Demo Movie	Japanese	Dumped from original media	Japan	DC	1.001
610-7922	F1 World Grand Prix II for Dreamcast	Demo	Japanese	2 and more dumps from original media [!]	Japan	DC	2.000
610-7933	Tricolore Crise: Art Palette	Hibaihin	Japanese	Dumped from original media	Japan	DC	1.000
610-7937	Guilty Gear X	Taikenban	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7958	Power Smash: Sega Professional Tennis	Taikenban	N/A	2 and more dumps from original media [!]	Japan	DC	0.901
610-7961	Macross M3	Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7970	Moero! Justice Gakuen	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7973	Power Smash: Sega Professional Tennis	Taikenban	N/A	Dumped from original media	Japan	DC	1.000
610-7978	Phantasy Star Online	Network Trial Edition	Japanese	Dumped from original media	Japan	DC	1.001
610-7982	Gunspike	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7990	Phantasy Star Online	Tentou-you Demo Movie	Japanese	Dumped from original media	Japan	DC	1.001
610-7992	GigaWing 2	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7993	Imakoso!! Dreamcast with Special GD!!	Bundled with Magazine	Japanese	Dumped from original media	Japan	DC	1.002
610-7994-50	Sonic Adventure 2: The Trial	Demo	English / Japanese	Dumped from original media	Europe	DC	1.001
610-7996	Sakura Taisen Dream Passport 3	Original	Japanese	Dumped from original media	Japan	DC	1.007
610-8017	Aero to Jet de Dancing! (Taikenban Disc)	Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-8018	AM2 of CRI 2001 New Lineup Movie Collection	Hibaihin	Japanese	2 and more dumps from original media [!]	Japan	DC	1.002
610-8022	Sakura Taisen 3: Paris wa Moeteiru ka	Tentou-you Demo Movie	Japanese	Dumped from original media	Japan	DC	1.000
610-8039	Gundam Battle Online: Trial Edition	Demo	Japanese	Dumped from original media	Japan	DC	1.001
610-8057	Sonic Adventure 2	Taikenban	English / French / German / Japanese / Spanish	Dumped from original media	Japan	DC	1.002
610-8061	Dream Passport Premier	Bundled with DC	Japanese	Dumped from original media	Japan	DC	1.106
610-8086	Capcom Taisen Fan Disc	N/A	Japanese	Dumped from original media	Japan	DC	1.001
610-8087	Virtua Fighter History/VF4	DC Game Bundle	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-8088	Virtua Fighter 4 Passport: VF.NET	DC Game Bundle	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-8092	Power Smash 2: Sega Professional Tennis	Taikenban	English / French / German / Japanese / Spanish	Dumped from original media	Japan	DC	1.000
610-8094	Dreamcast VM Data-shuu	Magazine Bundle	Japanese	Dumped from original media	Japan	DC	1.000
610-8099	Yu Suzuki Game Works Vol. 1	Original	Japanese	Dumped from original media	Japan	DC	1.002
610-8333	Sakura Taisen 4: Koi seyo Otome	Tentou-you Demo Movie	Japanese	Dumped from original media	Japan	DC	1.000
610-8395	Chocolat: Maid Cafe "Curio"	Taikenban	Japanese	Dumped from original media	Japan	DC	1.002
670-13613C	Dreamcast System-Disc 2	N/A	N/A	Dumped from original media	Japan	DC	1.101
673-01243	Dreamkey	Original	English	Dumped from original media	Australia	DC	1.000
673-02117	Dreamkey	Bundled with DC	N/A	Dumped from original media	India	DC	1.002
673-02290	Daytona USA 2001	Taikenban	English	Dumped from original media	Japan	DC	1.003
673-02830	Crazy Taxi 2	Have a Try Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
830-0011-50	Dreamon Volume 5	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
830-0052-50	NFL Blitz 2000	Original	English	2 and more dumps from original media [!]	Europe	DC	1.006
830-0067-50	Soul Fighter	Original	English	2 and more dumps from original media [!]	Europe	DC	1.000
830-0083-05	Fighting Force 2	Original	English / French	Dumped from original media	Europe	DC	1.000
830-0084-50	Worms Armageddon	Original	Danish / Dutch / English / French / German / Norwegian / Swedish	2 and more dumps from original media [!]	Europe	DC	1.001
830-0103-05	Tomb Raider: The Last Revelation	Original	English	2 and more dumps from original media [!]	Europe	DC	1.000
830-0142-50	Midway's Greatest Arcade Hits: Volume 1	Original	English	Dumped from original media	Europe	DC	1.000
